[2026/02/16  3:40:02.39] Starting... 
[INFO] Waiting for server... (36/60
[INFO] Waiting for server... (35/60
[OK] Node.js found 
[OK] Changed to C:\Users\user\dev\study-visualizer\scripts\.. 
[INFO] Starting dev server... 
▲ Next.js 16.1.6 (Turbopack)
- Local:         http://localhost:4000
- Network:       http://172.19.80.1:4000
- Environments: .env.local

✓ Starting...
✓ Ready in 1063ms
 GET / 200 in 18ms (compile: 2ms, render: 15ms)
 GET / 200 in 70ms (compile: 3ms, render: 68ms)
 GET / 200 in 107ms (compile: 31ms, render: 77ms)
 GET / 200 in 83ms (compile: 12ms, render: 72ms)
 GET / 200 in 86ms (compile: 26ms, render: 60ms)
 GET / 200 in 41ms (compile: 3ms, render: 38ms)
 GET / 200 in 103ms (compile: 5ms, render: 97ms)
 GET / 200 in 105ms (compile: 18ms, render: 86ms)
 GET / 200 in 62ms (compile: 4ms, render: 58ms)
 GET / 200 in 37ms (compile: 3ms, render: 35ms)
 GET / 200 in 100ms (compile: 5ms, render: 94ms)
 GET / 200 in 102ms (compile: 19ms, render: 83ms)
 GET / 200 in 104ms (compile: 32ms, render: 72ms)
 GET / 200 in 137ms (compile: 3ms, render: 134ms)
 GET / 200 in 147ms (compile: 33ms, render: 114ms)
 GET / 200 in 151ms (compile: 47ms, render: 104ms)
 GET / 200 in 155ms (compile: 60ms, render: 94ms)
 GET / 200 in 103ms (compile: 4ms, render: 99ms)
 GET / 200 in 142ms (compile: 52ms, render: 90ms)
 GET / 200 in 82ms (compile: 9ms, render: 74ms)
 GET / 200 in 84ms (compile: 23ms, render: 61ms)
 GET / 200 in 41ms (compile: 3ms, render: 38ms)
 GET / 200 in 114ms (compile: 5ms, render: 109ms)
 GET / 200 in 118ms (compile: 22ms, render: 96ms)
 GET / 200 in 122ms (compile: 37ms, render: 85ms)
 GET / 200 in 129ms (compile: 3ms, render: 126ms)
 GET / 200 in 132ms (compile: 16ms, render: 116ms)
 GET / 200 in 110ms (compile: 31ms, render: 79ms)
 GET / 200 in 112ms (compile: 45ms, render: 67ms)
 GET / 200 in 111ms (compile: 3ms, render: 108ms)
 GET / 200 in 118ms (compile: 5ms, render: 113ms)
 GET / 200 in 121ms (compile: 19ms, render: 101ms)
 GET / 200 in 54ms (compile: 8ms, render: 46ms)
 GET / 200 in 73ms (compile: 4ms, render: 69ms)
 GET / 200 in 104ms (compile: 33ms, render: 71ms)
 GET / 200 in 75ms (compile: 6ms, render: 68ms)
 GET / 200 in 77ms (compile: 20ms, render: 57ms)
 GET / 200 in 37ms (compile: 3ms, render: 34ms)
 GET / 200 in 39ms (compile: 5ms, render: 34ms)
 GET / 200 in 54ms (compile: 5ms, render: 49ms)
 GET / 200 in 38ms (compile: 3ms, render: 35ms)
 GET / 200 in 40ms (compile: 3ms, render: 38ms)
 GET / 200 in 44ms (compile: 5ms, render: 38ms)
 GET / 200 in 69ms (compile: 5ms, render: 64ms)
